Names,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor
11,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,1.27E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,2.03E-01,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
12,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,1.29E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,6.59E-02,0,0,0,0,0,0,0,0,0,0,6.17E-06,6.60E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,6.44E-02
13,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
14,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,5.95E-02,0,0,0,0,0,0,0,0,0,0,6.17E-06,1.66E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,4.05E-01,0,0,0,0,0,0,0,0,0,0,2.77E-07,3.03E-03
15,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,1.29E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,6.59E-02,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.44E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
16,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,7.74E-02,0,0,0,0,0,0,0,0,0,0,2.77E-07,4.03E-01
17,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,4.39E-01,0,0,0,0,0,0,0,0,0,0,6.17E-06,1.05E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.08E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,4.32E-01
18,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,1.40E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
19,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,4.39E-01,0,0,0,0,0,0,0,0,0,0,6.17E-06,6.52E-01,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
20,0.00E+00,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0.00E+00,0,0,0,0,6.17E-06,4.94E-01,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,4.85E-01
