Tranche,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger
11,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0.00014773,0,0,0,0,0,0.0019719,0,0.0020416,0.0017852,0,0,0,0,4.2947E-06,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0.00E+00,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,7.2581E-09,0,0,0,0,0,8.49E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0,0,0.00E+00,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
12,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021339,0,0.0020416,0.0017852,0.000029229,0,0,0,0,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0.00E+00,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,1.1927E-08,0,0,0,0,8.50E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
13,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021339,0,0.0020416,0.0017852,0,0,0,0,0,0,0,0,0,0,0.0008139,0,0.00074944,0.00070923,0,0,0,0.00E+00,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,3.365E-08,0,0,3.8482E-08,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0,0,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
14,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021339,0,0.0020416,0.0017852,0,0,0,0,0,0,0,0,0,0,0.0008139,0,0.00074944,0.00070923,0.00E+00,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0.00E+00,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,3.365E-08,0,0,3.8482E-08,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0,0,0,0.00E+00,0.00E+00,0,0.00E+00,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
15,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021339,0,0.0020416,0.0017852,0,0,0,0,0,0,0,0,0,0,0.0008139,0,0.00077872,0.00070923,0.00E+00,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0.00E+00,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,3.365E-08,0,0,3.8482E-08,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0.00E+00,0,0.00E+00,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
16,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021339,0,0.0020416,0.0017852,0,0,0,0,0,0,0,0,0,0,0.0008139,0,0.00077872,0.00070923,0,0,0,0.00E+00,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0.00E+00,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,3.365E-08,0,0,3.85E-08,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
17,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021339,0,0.0020416,0.0017852,0,0,0,0,0,0,0,0,0,0,0.0008139,0,0.00077872,0.00070923,0,0,0,0.00E+00,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0.00E+00,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,1.0239E-07,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,3.365E-08,0,0,3.85E-08,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0,0,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
18,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021339,0,0.0020416,0.0017852,0,0,0,0,0,0,0,0,0,0,0.0008139,0,0.00077872,0.00070923,0,0,0,0.00E+00,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0.00E+00,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,1.0239E-07,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0.00E+00,0,0,0,0,0,0,8.56E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
19,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021339,0,0.0020416,0.0017852,0,0,0,0,0,0,0,0,0,0,0.0008139,0,0.00077872,0.00070923,0.00E+00,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0.00E+00,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,1.0239E-07,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0.00E+00,0,0,0,0,0,0,8.56E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
20,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021339,0,0.0020416,0.0017852,0,0,0,0,0,0,0,0,0,0,0.0008139,0,0.00077872,0.00070923,0.00E+00,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0.00E+00,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,1.0239E-07,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0.00E+00,0,0,0,0,0,0,8.56E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
